Sunrise Dreams;Alberto;Pop;2020;50;12.99
Noites de Lisboa;Alberto;Fado;2018;30;11.50
Samba do Sol;Artur;Samba;2019;40;10.00
Rhythm of Life;Artur;Pop;2021;35;13.99
Horizonte Azul;Filipe;Jazz;2017;150;14.00
Eternal Echo;Filipe;Rock;2020;250;15.50
Rocking Paris;Kilo;Rock;2019;60;16.00
Chanson d'Amour;Kilo;Pop;2021;40;12.50
Viagem Infinita;Manuel;Eletrónica;2018;20;11.00
Sunset Vibes;Manuel;Pop;2020;30;13.00
Mystic Roads;Mario Alberto;Jazz;2019;17;14.50
Legends of Sound;Mario Alberto;Rock;2021;42;15.00
Fiesta Mexicana;João;Salsa;2018;32;12.00
Golden Nights;João;Pop;2020;41;13.50
Tango do Amanhã;Miguel;Tango;2017;12;11.50
Heartbeat;Miguel;Rock;2021;35;14.00
Praia e Sol;Rui;MPB;2019;28;12.00
Urban Lights;Rui;Hip-Hop;2020;36;13.50
Raízes de Portugal;Pedro;Fado;2018;15;11.00
Skyline Dreams;Pedro;Pop;2021;4;14.00
Caminhos do Vento;Carlos;Folk;2019;22;12.50
Electric Soul;Carlos;Eletrónica;2021;370;13.99
Noite Estrelada;Francisco;Jazz;2017;18;14.50
Beyond the Horizon;Francisco;Rock;2020;30;15.00
Vento do Norte;Ricardo;Fado;2018;20;12.00
City Lights;Ricardo;Pop;2021;42;13.50
Cores da Alma;Tiago;MPB;2019;25;11.50
Midnight Groove;Tiago;Jazz;2020;33;14.00
Novo Amanhecer;André;Pop;2018;27;12.99
Lost in Music;André;Eletrónica;2021;39;14.50
Tropical Breeze;Paulo;Samba;2019;31;11.50
Golden Horizon;Paulo;Pop;2020;45;13.00
Ritmos da Vida;Diogo;Jazz;2017;15;14.00
Silver Nights;Diogo;Rock;2021;35;15.50
Som da Terra;Bruno;Folk;2018;100;12.50
Digital Dreams;Bruno;Eletrónica;2020;36;13.99
Luz e Sombra;Vítor;Pop;2019;30;12.99
Urban Waves;Vítor;Hip-Hop;2021;41;14.50
Notas do Coração;Fábio;MPB;2017;18;11.50
Cosmic Journey;Fábio;Rock;2020;37;15.00
